日期,年份,代码,板块,昨日涨跌,开盘,买入价,卖出价,收盘,最高,最低,毛收益,净收益,卖出原因,量化评分,评分评级
2026-01-09,2026,300346,电子化学品,2.03,55.0,55.11,57.87,58.3,58.53,55.0,5.0,4.9,止盈(5%),73.5,可交易
2026-01-12,2026,600703,通信设备,3.5,15.65,15.68,15.8,15.8,15.98,15.51,0.76,0.66,收盘卖出,81.8,可交易
2026-01-14,2026,688126,半导体,5.22,23.95,24.0,23.52,23.74,24.48,23.28,-2.0,-2.1,止损(-2%),73.5,可交易
2026-01-19,2026,600584,半导体,5.64,41.98,42.06,44.17,43.68,45.28,41.98,5.0,4.9,止盈(5%),77.8,可交易
2026-01-20,2026,688019,电子化学品,4.17,228.0,228.46,239.88,234.22,241.48,227.0,5.0,4.9,止盈(5%),77.5,可交易
2026-01-21,2026,688019,电子化学品,3.18,241.33,241.81,253.9,278.39,281.01,241.33,5.0,4.9,止盈(5%),79.8,可交易
2026-01-22,2026,300398,电子化学品,3.91,24.8,24.85,24.91,24.91,25.58,24.68,0.24,0.14,收盘卖出,79.5,可交易
2026-01-23,2026,300346,电子化学品,2.03,55.0,55.11,57.87,58.3,58.53,55.0,5.0,4.9,止盈(5%),73.5,可交易
2026-01-26,2026,600703,通信设备,3.5,15.65,15.68,15.8,15.8,15.98,15.51,0.76,0.66,收盘卖出,81.8,可交易
2026-01-28,2026,688126,半导体,5.22,23.95,24.0,23.52,23.74,24.48,23.28,-2.0,-2.1,止损(-2%),73.5,可交易
2026-01-29,2026,300346,电子化学品,3.96,55.86,55.97,58.77,62.75,64.04,55.86,5.0,4.9,止盈(5%),71.5,可交易
2026-02-03,2026,600745,通信设备,3.52,40.0,40.08,39.28,39.14,40.08,39.01,-2.0,-2.1,止损(-2%),73.2,可交易
2026-02-04,2026,300398,电子化学品,3.81,26.4,26.45,27.78,26.83,27.88,26.02,5.0,4.9,止盈(5%),71.8,可交易
2026-02-10,2026,600188,煤炭开采加工,3.32,14.31,14.34,14.05,13.91,14.62,13.89,-2.0,-2.1,止损(-2%),73.2,可交易
2026-02-11,2026,603267,元件,6.11,60.72,60.84,59.62,60.16,61.3,59.58,-2.0,-2.1,止损(-2%),78.8,可交易
2026-02-12,2026,600188,煤炭开采加工,3.81,14.6,14.63,14.68,14.68,14.88,14.43,0.35,0.25,收盘卖出,71.8,可交易
2026-02-26,2026,300398,电子化学品,6.77,27.82,27.88,27.32,27.98,28.17,27.23,-2.0,-2.1,止损(-2%),70.8,可交易
2026-03-04,2026,600188,煤炭开采加工,2.06,16.04,16.07,15.75,15.89,16.09,15.73,-2.0,-2.1,止损(-2%),70.8,可交易
2026-03-05,2026,688025,电子化学品,3.88,220.66,221.1,216.68,215.61,228.97,214.2,-2.0,-2.1,止损(-2%),76.5,可交易
2026-03-06,2026,600188,煤炭开采加工,4.78,16.66,16.69,17.53,17.51,17.59,16.5,5.0,4.9,止盈(5%),70.8,可交易
2026-03-16,2026,603267,元件,3.02,67.0,67.13,65.79,65.46,68.0,65.01,-2.0,-2.1,止损(-2%),78.0,可交易
2026-03-17,2026,600188,煤炭开采加工,6.38,19.1,19.14,20.1,20.5,20.74,18.53,5.0,4.9,止盈(5%),79.5,可交易
2026-03-25,2026,300782,半导体,5.19,84.51,84.68,84.15,84.15,84.89,83.01,-0.62,-0.72,收盘卖出,77.5,可交易
2026-03-26,2026,600188,煤炭开采加工,3.44,20.5,20.54,21.57,22.17,22.17,20.2,5.0,4.9,止盈(5%),70.8,可交易
2026-04-09,2026,600563,元件,5.96,132.0,132.26,138.88,136.77,139.33,130.9,5.0,4.9,止盈(5%),71.5,可交易
2026-04-14,2026,688041,半导体,5.79,251.01,251.51,246.48,248.78,252.86,245.03,-2.0,-2.1,止损(-2%),73.8,可交易
2026-04-23,2026,300782,半导体,3.14,90.03,90.21,94.72,97.53,101.18,88.88,5.0,4.9,止盈(5%),77.5,可交易
2026-04-27,2026,300782,半导体,2.42,98.85,99.05,104.0,102.05,105.71,98.85,5.0,4.9,止盈(5%),70.5,可交易
2026-05-06,2026,688981,半导体,4.7,113.25,113.48,116.58,116.58,117.69,112.6,2.73,2.63,收盘卖出,80.2,可交易
2026-05-08,2026,688396,半导体,4.87,52.0,52.1,51.06,51.59,52.6,50.95,-2.0,-2.1,止损(-2%),74.2,可交易
2026-05-11,2026,300408,元件,4.1,65.46,65.59,67.0,67.0,68.0,65.38,2.15,2.05,收盘卖出,71.8,可交易
